1 14 15 17 0.05 20 1354062719 0 50 0 1 9 13 15 17 0.07 18 1354062728 0 50 0 1 3 12 15 17 0.08 20 1354062731 0 50 0 1 13 10 15 17 0.09 19 1354062744 0 50 0 1 4 10 15 17 0.1 20 1354062748 0 50 0 1 15 8 15 17 0.11 19 1354062763 0 50 0 1 4 8 15 17 0.12 20 1354062767 0 50 0 1 15 6 12 17 0.13 19 1354062782 0 50 0 1 2 6 12 17 0.14 20 1354062784 0 50 0 1
65 16 16 18 0.03 34 1354117695 15 25 0 1 7 16 16 18 0.04 27 1354117702 15 25 0 1 18 14 16 18 0.05 19 1354117720 15 25 0 1 10 13 16 18 0.06 21 1354117730 15 25 0 1 6 13 16 18 0.07 14 1354117736 15 25 0 1 1 13 16 18 0.08 14 1354117737 15 25 0 1 6 12 16 18 0.09 14 1354117743 15 25 0 1 2 12 16 18 0.1 15 1354117745 15 25 0 1 5 10 16 18 0.11 15 1354117750 15 25 0 1
4 26 30 33 0.1 15 1354574740 22 25 0 1 14 24 29 33 0.11 13 1354574754 22 25 0 1 13 23 29 33 0.12 14 1354574767 22 25 0 1 12 22 27 33 0.13 15 1354574779 22 25 0 1 2 22 26 33 0.14 15 1354574781 22 25 0 1 7 22 26 33 0.15 14 1354574788 22 25 0 1 16 19 24 33 0.16 14 1354574804 22 25 0 1 1 19 24 33 0.17 13 1354574805 22 25 0 1 11 17 23 33 0.18 15 1354574816 22 25 0 1
2 17 23 33 0.19 15 1354574818 22 25 0 1 3 17 23 33 0.2 13 1354574821 22 25 0 1 14 14 22 32 0.21 14 1354574835 22 25 0 1 13 13 19 32 0.22 14 1354574848 22 25 0 1 4 13 19 32 0.23 15 1354574852 22 25 0 1 2 13 19 32 0.24 15 1354574854 22 25 0 1 16 10 17 32 0.25 14 1354574870 22 25 0 1 2 10 17 32 0.26 15 1354574872 22 25 0 1 3 10 17 32 0.27 15 1354574875 22 25 0 1
1 15 19 22 0.09 14 1354032900 16 15 0 1 10 13 19 22 0.1 15 1354032910 16 15 0 1 6 13 19 22 0.11 13 1354032916 16 15 0 1 1 13 19 22 0.12 12 1354032917 16 15 0 1 5 12 18 22 0.13 15 1354032922 16 15 0 1 15 9 17 22 0.14 15 1354032937 16 15 0 1 1 9 17 22 0.16 13 1354032938 16 15 0 1 4 9 16 22 0.17 15 1354032942 16 15 0 1 5 8 15 22 0.18 13 1354032947 16 15 0 1
35 21 22 23 0.03 72 1354578858 23 25 0 1 37 20 21 23 0.04 35 1354578895 23 25 0 1 5 20 21 23 0.05 30 1354578900 23 25 0 1 18 18 20 23 0.06 20 1354578918 23 25 0 1 2 18 20 23 0.07 16 1354578920 23 25 0 1 7 18 20 23 0.08 14 1354578927 23 25 0 1 3 16 20 23 0.09 14 1354578930 23 25 0 1 13 14 20 23 0.1 14 1354578943 23 25 0 1 12 13 19 23 0.11 14 1354578955 23 25 0 1
5 13 18 23 0.12 14 1354578960 23 25 0 1 3 13 18 23 0.13 14 1354578963 23 25 0 1 4 12 18 23 0.15 13 1354578967 23 25 0 1 10 9 18 23 0.16 15 1354578977 23 25 0 1 4 9 16 23 0.17 14 1354578981 23 25 0 1 8 8 15 23 0.18 15 1354578989 23 25 0 1 3 7 14 23 0.19 14 1354578992 23 25 0 1 8 6 14 23 0.2 15 1354579000 23 25 0 1 5 5 13 23 0.21 15 1354579005 23 25 0 1
12 17 19 21 0.05 36 1354504307 3 25 0 1 29 16 19 21 0.06 20 1354504336 3 25 0 1 10 15 18 21 0.07 15 1354504346 3 25 0 1 13 14 17 21 0.08 14 1354504359 3 25 0 1 1 14 17 21 0.09 14 1354504360 3 25 0 1 12 12 16 21 0.1 15 1354504372 3 25 0 1 14 11 16 21 0.11 14 1354504386 3 25 0 1 10 10 15 21 0.12 15 1354504396 3 25 0 1 1 10 15 21 0.13 13 1354504397 3 25 0 1
0 21 21 21 0.01 55 1354326931 1 15 0 1 43 20 21 21 0.02 20 1354326974 1 15 0 1 12 19 21 21 0.03 19 1354326986 1 15 0 1 7 19 20 21 0.04 12 1354326993 1 15 0 1 7 18 20 21 0.05 15 1354327000 1 15 0 1 9 17 20 21 0.06 14 1354327009 1 15 0 1 2 16 20 21 0.07 14 1354327011 1 15 0 1 4 16 20 21 0.08 15 1354327015 1 15 0 1 7 14 20 21 0.09 13 1354327022 1 15 0 1
11 12 20 21 0.1 15 1354327033 1 15 0 1 9 12 19 21 0.11 14 1354327042 1 15 0 1 4 11 18 21 0.12 15 1354327046 1 15 0 1 11 9 17 21 0.13 14 1354327057 1 15 0 1 1 9 17 21 0.14 16 1354327058 1 15 0 1 9 8 16 21 0.15 14 1354327067 1 15 0 1 16 6 12 21 0.17 14 1354327083 1 15 0 1 2 6 12 21 0.18 14 1354327085 1 15 0 1 14 4 11 21 0.19 13 1354327099 1 15 0 1
0 10 10 10 0.01 174 1354529803 10 15 0 1 129 9 9 10 0.02 45 1354529932 10 15 0 1 30 8 9 10 0.03 18 1354529962 10 15 0 1 13 7 9 10 0.04 14 1354529975 10 15 0 1 1 7 9 10 0.05 13 1354529976 10 15 0 1 14 5 9 10 0.06 13 1354529990 10 15 0 1 13 4 8 10 0.07 14 1354530003 10 15 0 1 13 3 8 10 0.08 15 1354530016 10 15 0 1 9 3 7 10 0.09 14 1354530025 10 15 0 1
12 11 14 15 0.05 20 1354221265 20 25 0 1 7 11 14 15 0.06 19 1354221272 20 25 0 1 6 10 14 15 0.07 15 1354221278 20 25 0 1 4 9 14 15 0.08 15 1354221282 20 25 0 1 9 8 13 15 0.09 13 1354221291 20 25 0 1 2 7 13 15 0.1 15 1354221293 20 25 0 1 12 5 12 15 0.11 14 1354221305 20 25 0 1 4 5 12 15 0.12 15 1354221309 20 25 0 1 3 5 12 15 0.13 14 1354221312 20 25 0 1
14 11 12 13 0.03 19 1354220253 20 15 0 1 4 11 12 13 0.04 16 1354220257 20 15 0 1 11 9 12 13 0.05 14 1354220268 20 15 0 1 15 8 12 13 0.06 16 1354220283 20 15 0 1 8 8 12 13 0.07 15 1354220291 20 15 0 1 13 6 11 13 0.08 14 1354220304 20 15 0 1 7 6 11 13 0.09 14 1354220311 20 15 0 1 2 6 10 13 0.1 15 1354220313 20 15 0 1 8 4 9 13 0.11 14 1354220321 20 15 0 1
8 13 16 18 0.07 15 1354293539 16 15 0 1 6 12 16 18 0.08 14 1354293545 16 15 0 1 13 10 16 18 0.09 14 1354293558 16 15 0 1 4 10 16 18 0.1 14 1354293562 16 15 0 1 14 8 16 18 0.11 15 1354293576 16 15 0 1 2 8 15 18 0.12 16 1354293578 16 15 0 1 12 6 13 18 0.13 13 1354293590 16 15 0 1 3 6 12 18 0.14 14 1354293593 16 15 0 1 15 4 10 18 0.15 15 1354293608 16 15 0 1
